ID,WAVELENGTH,FLUX,FLUX_ERR
3590-55201-0554,[ 3585.915   3586.74    3587.5671 ... 10358.569  10360.958  10363.348 ],"[1.1434797e-16 1.2691088e-16 2.6911261e-17 ... 1.3756483e-17 2.1065890e-17
 2.8375531e-17]","[4.8041105e-17 4.8787801e-17 4.5873207e-17 ... 3.6044269e-17 0.0000000e+00
 4.0715014e-17]"
3662-55182-0546,[ 3571.9065  3572.7283  3573.552  ... 10351.419  10353.806  10356.193 ],"[-4.0289777e-17  4.1570349e-17  2.8409124e-17 ... -4.5516304e-18
 -3.9516229e-18 -3.3515929e-18]","[1.5933457e-17 1.6203161e-17 1.6405007e-17 ... 2.7913683e-17 0.0000000e+00
 3.0741903e-17]"
3663-55176-0766,[ 3575.1963  3576.0208  3576.8435 ... 10356.193  10358.569  10360.958 ],"[ 9.767116e-19 -2.910511e-17  9.690154e-18 ... -6.269629e-17 -7.046239e-17
 -7.822878e-17]","[3.5688228e-17 3.5444372e-17 3.4350263e-17 ... 1.2218367e-16 0.0000000e+00
 1.1635901e-16]"
3667-55186-0806,[ 3576.8435  3577.6682  3578.4915 ... 10344.272  10346.657  10349.043 ],"[ 5.5718032e-17  2.0812542e-17  1.8783775e-17 ...  1.0218239e-17
  2.9756562e-17 -4.0699118e-18]","[3.4952255e-17 3.4394554e-17 3.2974516e-17 ... 2.4371232e-17 2.5944611e-17
 3.7499767e-17]"
3670-55480-0196,[ 3566.1538  3566.9744  3567.7969 ... 10303.861  10306.237  10308.603 ],"[ 8.27473848e-18 -6.69256481e-17 -6.33191637e-20 ...  2.20569530e-17
 -1.26883525e-17 -1.17943175e-17]","[3.2827678e-17 2.9597161e-17 3.0848311e-17 ... 1.6037442e-17 1.5144969e-17
 2.4720048e-17]"
3684-55246-0926,[ 3579.3167  3580.14    3580.9636 ... 10344.272  10346.657  10349.043 ],"[-3.8489164e-17  2.6469626e-17  2.3284969e-17 ... -2.2228165e-18
  6.5469104e-18  5.6218838e-18]","[2.8505898e-17 2.8397888e-17 2.8344889e-17 ... 2.6635705e-17 3.2754053e-17
 3.5938460e-17]"
3691-55274-0169,[ 3566.1538  3566.9744  3567.7969 ... 10315.736  10318.104  10320.482 ],"[ 9.5964704e-17  4.1161652e-17  1.4019381e-16 ... -4.5720023e-17
 -2.9746626e-17  8.4209385e-18]","[8.5240108e-17 4.1037982e-17 4.5078551e-17 ... 8.7325126e-17 6.7769041e-17
 5.5421723e-17]"
3694-55209-0754,[ 3575.1963  3576.0208  3576.8435 ... 10351.419  10353.806  10356.193 ],"[ 8.8926250e-17  1.0255908e-16  8.1623761e-17 ... -2.2585798e-17
 -1.2848034e-17 -3.1101807e-18]","[3.9303669e-17 3.9013573e-17 3.7877692e-17 ... 2.7390451e-17 0.0000000e+00
 2.1960725e-17]"
3745-55234-0896,[ 3571.9065  3572.7283  3573.552  ... 10344.272  10346.657  10349.043 ],"[-1.21855285e-17  1.07348621e-16  8.32150843e-17 ...  8.93086807e-18
 -3.03083476e-17  4.48671334e-17]","[5.6408225e-17 6.0421401e-17 6.3162638e-17 ... 1.4637107e-17 1.9328655e-17
 2.8584973e-17]"
3754-55488-0926,[ 3590.8735  3591.6995  3592.526  ... 10363.348  10365.737  10368.116 ],"[ 1.2250852e-16 -2.0851085e-18  3.1482061e-17 ...  1.2148825e-17
  1.5573611e-17  4.3229580e-18]","[2.3801399e-17 2.3605596e-17 2.3255435e-17 ... 3.0131559e-17 1.8562229e-17
 1.5220408e-17]"
